Path,Format,Options,Dataset,Number of vertices,Number of edges,Density,Mean degree,Best known solution value,Best known bound,Certificate path
knitro2022/1.txt,cliquegraph,,knitro2022,,,,,8.0,0,certificates/knitro2022/knitro2022/1.txt_solution.txt
knitro2022/2.txt,cliquegraph,,knitro2022,,,,,20.0,0,certificates/knitro2022/knitro2022/2.txt_solution.txt
knitro2022/3.txt,cliquegraph,,knitro2022,,,,,43.0,0,certificates/knitro2022/knitro2022/3.txt_solution.txt
knitro2022/3a.txt,cliquegraph,,knitro2022,,,,,43.0,0,certificates/knitro2022/knitro2022/3a.txt_solution.txt
knitro2022/3pk.txt,cliquegraph,,knitro2022,,,,,30.0,0,certificates/knitro2022/knitro2022/3pk.txt_solution.txt
knitro2022/5.txt,cliquegraph,,knitro2022,,,,,16.0,0,certificates/knitro2022/knitro2022/5.txt_solution.txt
knitro2022/CliqueToy.txt,cliquegraph,,knitro2022,,,,,3.0,0,certificates/knitro2022/knitro2022/CliqueToy.txt_solution.txt
knitro2022/abel.txt,cliquegraph,,knitro2022,,,,,28.0,0,certificates/knitro2022/knitro2022/abel.txt_solution.txt
knitro2022/afiro.txt,cliquegraph,,knitro2022,,,,,5.0,0,certificates/knitro2022/knitro2022/afiro.txt_solution.txt
knitro2022/alan.txt,cliquegraph,,knitro2022,,,,,3.0,0,certificates/knitro2022/knitro2022/alan.txt_solution.txt
knitro2022/aljazzaf.txt,cliquegraph,,knitro2022,,,,,3.0,0,certificates/knitro2022/knitro2022/aljazzaf.txt_solution.txt
knitro2022/alkyl.txt,cliquegraph,,knitro2022,,,,,6.0,0,certificates/knitro2022/knitro2022/alkyl.txt_solution.txt
knitro2022/alkylation.txt,cliquegraph,,knitro2022,,,,,6.0,0,certificates/knitro2022/knitro2022/alkylation.txt_solution.txt
knitro2022/allinit.txt,cliquegraph,,knitro2022,,,,,4.0,0,certificates/knitro2022/knitro2022/allinit.txt_solution.txt
knitro2022/allinitc.txt,cliquegraph,,knitro2022,,,,,4.0,0,certificates/knitro2022/knitro2022/allinitc.txt_solution.txt
knitro2022/alsotame.txt,cliquegraph,,knitro2022,,,,,2.0,0,certificates/knitro2022/knitro2022/alsotame.txt_solution.txt
knitro2022/antenna_quad.txt,cliquegraph,,knitro2022,,,,,1.0,0,certificates/knitro2022/knitro2022/antenna_quad.txt_solution.txt
knitro2022/arki0001.txt,cliquegraph,,knitro2022,,,,,512.0,0,certificates/knitro2022/knitro2022/arki0001.txt_solution.txt
knitro2022/arki0002.txt,cliquegraph,,knitro2022,,,,,152.0,0,certificates/knitro2022/knitro2022/arki0002.txt_solution.txt
knitro2022/arki0003.txt,cliquegraph,,knitro2022,,,,,4.0,0,certificates/knitro2022/knitro2022/arki0003.txt_solution.txt
knitro2022/arki0004.txt,cliquegraph,,knitro2022,,,,,2084.0,0,certificates/knitro2022/knitro2022/arki0004.txt_solution.txt
knitro2022/arki0009.txt,cliquegraph,,knitro2022,,,,,90.0,0,certificates/knitro2022/knitro2022/arki0009.txt_solution.txt
knitro2022/arki0010.txt,cliquegraph,,knitro2022,,,,,45.0,0,certificates/knitro2022/knitro2022/arki0010.txt_solution.txt
knitro2022/arki0015.txt,cliquegraph,,knitro2022,,,,,242.0,0,certificates/knitro2022/knitro2022/arki0015.txt_solution.txt
knitro2022/arki0016.txt,cliquegraph,,knitro2022,,,,,2652.0,0,certificates/knitro2022/knitro2022/arki0016.txt_solution.txt
knitro2022/arki0017.txt,cliquegraph,,knitro2022,,,,,2214.0,0,certificates/knitro2022/knitro2022/arki0017.txt_solution.txt
knitro2022/arki0018.txt,cliquegraph,,knitro2022,,,,,9804.0,0,certificates/knitro2022/knitro2022/arki0018.txt_solution.txt
knitro2022/arki0019.txt,cliquegraph,,knitro2022,,,,,510.0,0,certificates/knitro2022/knitro2022/arki0019.txt_solution.txt
knitro2022/arki0020.txt,cliquegraph,,knitro2022,,,,,1262.0,0,certificates/knitro2022/knitro2022/arki0020.txt_solution.txt
knitro2022/arki0021.txt,cliquegraph,,knitro2022,,,,,3187.0,0,certificates/knitro2022/knitro2022/arki0021.txt_solution.txt
knitro2022/arki0022.txt,cliquegraph,,knitro2022,,,,,4152.0,0,certificates/knitro2022/knitro2022/arki0022.txt_solution.txt
knitro2022/arki0023.txt,cliquegraph,,knitro2022,,,,,8886.0,0,certificates/knitro2022/knitro2022/arki0023.txt_solution.txt
knitro2022/autocorr_bern20-03.txt,cliquegraph,,knitro2022,,,,,1.0,0,certificates/knitro2022/knitro2022/autocorr_bern20-03.txt_solution.txt
knitro2022/autocorr_bern20-05.txt,cliquegraph,,knitro2022,,,,,21.0,0,certificates/knitro2022/knitro2022/autocorr_bern20-05.txt_solution.txt
knitro2022/autocorr_bern20-10.txt,cliquegraph,,knitro2022,,,,,21.0,0,certificates/knitro2022/knitro2022/autocorr_bern20-10.txt_solution.txt
knitro2022/autocorr_bern20-15.txt,cliquegraph,,knitro2022,,,,,21.0,0,certificates/knitro2022/knitro2022/autocorr_bern20-15.txt_solution.txt
knitro2022/autocorr_bern25-03.txt,cliquegraph,,knitro2022,,,,,1.0,0,certificates/knitro2022/knitro2022/autocorr_bern25-03.txt_solution.txt
knitro2022/autocorr_bern25-06.txt,cliquegraph,,knitro2022,,,,,26.0,0,certificates/knitro2022/knitro2022/autocorr_bern25-06.txt_solution.txt
knitro2022/autocorr_bern25-13.txt,cliquegraph,,knitro2022,,,,,26.0,0,certificates/knitro2022/knitro2022/autocorr_bern25-13.txt_solution.txt
knitro2022/autocorr_bern25-19.txt,cliquegraph,,knitro2022,,,,,26.0,0,certificates/knitro2022/knitro2022/autocorr_bern25-19.txt_solution.txt
knitro2022/autocorr_bern25-25.txt,cliquegraph,,knitro2022,,,,,26.0,0,certificates/knitro2022/knitro2022/autocorr_bern25-25.txt_solution.txt
knitro2022/autocorr_bern30-04.txt,cliquegraph,,knitro2022,,,,,31.0,0,certificates/knitro2022/knitro2022/autocorr_bern30-04.txt_solution.txt
knitro2022/autocorr_bern30-08.txt,cliquegraph,,knitro2022,,,,,31.0,0,certificates/knitro2022/knitro2022/autocorr_bern30-08.txt_solution.txt
knitro2022/autocorr_bern30-15.txt,cliquegraph,,knitro2022,,,,,31.0,0,certificates/knitro2022/knitro2022/autocorr_bern30-15.txt_solution.txt
knitro2022/autocorr_bern30-23.txt,cliquegraph,,knitro2022,,,,,31.0,0,certificates/knitro2022/knitro2022/autocorr_bern30-23.txt_solution.txt
knitro2022/autocorr_bern30-30.txt,cliquegraph,,knitro2022,,,,,31.0,0,certificates/knitro2022/knitro2022/autocorr_bern30-30.txt_solution.txt
knitro2022/autocorr_bern35-04.txt,cliquegraph,,knitro2022,,,,,36.0,0,certificates/knitro2022/knitro2022/autocorr_bern35-04.txt_solution.txt
knitro2022/autocorr_bern35-09.txt,cliquegraph,,knitro2022,,,,,36.0,0,certificates/knitro2022/knitro2022/autocorr_bern35-09.txt_solution.txt
knitro2022/autocorr_bern35-18.txt,cliquegraph,,knitro2022,,,,,36.0,0,certificates/knitro2022/knitro2022/autocorr_bern35-18.txt_solution.txt
